NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude
Dina Hotel,Non Bintang,Melati,20.0,Jl. Parangtritis No. 15,-7.81546056,110.3687734
Diratna Homestay,Non Bintang,Pondok Wisata,6.0,Kemetiran No. 16 RT 48 RW 13,-7.792174033,110.3603212
Djambu Indah Hotel,Non Bintang,Melati,16.0,Jl. Mas Suharto No. 16 Tegalpanggung,-7.793637091,110.3703214
Djava Homestay,Non Bintang,Akomodasi Lain,10.0,Timuran MG 3/104 C,-7.795756984,110.3745821
Doyani Home Syariah,Non Bintang,Pondok Wisata,5.0,Jl. Poncowolo 13 Ketanggungan Wirobrajan,-7.805252567,110.3463436
DS 681 Home Stay,Non Bintang,Akomodasi Lain,5.0,Gg. Hansip Karno Waluyo DN 2/681,-7.79060468,110.3715189
Dsenopati Malioboro Grand Hotel,Bintang,Bintang Tiga,108.0,Jl. Panembahan Senopati No. 40 Prawirodirjan,-7.801555863,110.3700171
Dtalent Hotel,Non Bintang,Melati,24.0,Prawirotaman MG3,-7.820656184,110.3693109
Dumai Family And Guest House,Non Bintang,Pondok Wisata,3.0,Kauman GM 1/231,-7.805002691,110.3614445
Dusun Jogja Village Inn,Bintang,Bintang Tiga,24.0,"Jl. Menukan 5, Karangkajen",-7.823667183,110.3688657
Duta Garden Hotel,Non Bintang,Melati,18.0,Timuran MG 3/103,-7.816537711,110.3695116
Duta Guest House,Non Bintang,Pondok Wisata,25.0,Jl. Prawirotaman No. 26,-7.819183042,110.3709846
Duta Kencana Hotel,Non Bintang,Melati,14.0,Jl. Ireda 76,-7.813640668,110.3715104
Duta Wisata Hotel,Non Bintang,Melati,18.0,Jl. Urip Sumoharjo No. 79,-7.779464868,110.3832898
Duta Wisata II Hotel,Non Bintang,Melati,19.0,Jl. Laksda Adisucipto No. 8,-7.782961314,110.3883732
Dwi Warna Hotel,Non Bintang,Melati,19.0,Jl. S. Parman No. 46,-7.807827372,110.3532486
Dwijaya Wisma,Non Bintang,Melati,9.0,Mantrijeron MJ 3/831,-7.819531475,110.3660709
