NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude
Pramesthi Hotel,Non Bintang,Melati,33.0,Jl. Mangkuyudan No. 44,-7.821774269,110.3653791
Ratna Hotel,Non Bintang,Melati,15.0,Pasar Kembang No. 17A,-7.789728919,110.3649364
House 24,Non Bintang,Pondok Wisata,12.0,Jl. Jogokariyan 24,-7.824007231,110.3634318
House of Chandra,Non Bintang,Pondok Wisata,4.0,Tamansiswa Gang Warsokusumo Nyutran MG 2 No 1433,-7.80831386,110.375877
House of Moedjito Homestay,Non Bintang,Pondok Wisata,6.0,Jl. Tribrata I No. 3,-7.808282258,110.3758451
Hoz Bed And Breakfast,Non Bintang,Pondok Wisata,5.0,Gedongkiwo MJI/977 A,-7.808307539,110.3758451
Hutomo Hotel,Non Bintang,Melati,9.0,Jl. Gedong Kuning No. 110,-7.811759721,110.4018902
Ibis Hotel,Bintang,Bintang Tiga,85.0,Jl. Malioboro 52-58,-7.811717204,110.4018794
Ibis Styles,Bintang,Bintang Tiga,112.0,Jl. Dagen No. 109,-7.79360707,110.3615186
Ibu Hartono Homestay,Non Bintang,Pondok Wisata,7.0,Jl. Krasak Timur No. 28 B,-7.788631055,110.3774369
Imogen Homestay,Non Bintang,Akomodasi Lain,5.0,Pugeran Timur No. 6,-7.81424711,110.3590464
Indah Guest Hotel,Non Bintang,Melati,14.0,Jl. Jogonegaran No. 10,-7.822766668,110.3546331
Indah Palace Hotel,Bintang,Bintang Dua,26.0,Jl. Sisingamangaraja No. 74,-7.818287925,110.3729188
Indies Hotel,Bintang,Bintang Tiga,74.0,Prawirotaman III No. 3,-7.820460859,110.3694835
Indonesia Hotel,Non Bintang,Melati,28.0,Jl. Sosrowijayan No. 9,-7.79150165,110.3651846
Indrakila Hotel,Non Bintang,Melati,20.0,Jl. Tirtodipuran No. 30,-7.818360892,110.3650932
Indraloka Heritage Homestay,Non Bintang,Melati,16.0,Jl. Cik Ditiro No. 18,-7.779283472,110.37572
Indraprasta Homestay,Non Bintang,Pondok Wisata,10.0,Timuran MG 3/169,-7.787011116,110.3517301
Inna Garuda Hotel,Bintang,Bintang Empat,222.0,Jl. Malioboro No. 60,-7.790725269,110.3665871
"Ipienk House, PT",Non Bintang,Pondok Wisata,7.0,Bausasran DN 3 No. 719-720,-7.796444153,110.3747785
Iraa Hotel,Non Bintang,Melati,30.0,Jl. Bausasran No. 62,-7.797058913,110.3767616
Ismoyo Hotel,Non Bintang,Melati,19.0,Jl. Jlagran Lor No. 57/123,-7.789387587,110.3581984
Isty Losmen,Non Bintang,Akomodasi Lain,8.0,Sosrowijayan Wetan GT 1/165 Gang 2,-7.79076092,110.3638073
Jambuluwuk Malioboro Boutique Hotel,Bintang,Bintang Empat,144.0,Jl. Gajah Mada No. 67,-7.797361861,110.3721724
Java Hut Home Stay Gubug Jawa,Non Bintang,Pondok Wisata,4.0,Dipowinatan MG 1/23,-7.809963062,110.3690264
Java Villas Boutique Hotel,Bintang,Bintang Dua,17.0,Gerilya MG III/460 Prawirotaman,-7.819567946,110.3687727
Jave Gong Homestay,Non Bintang,Vila,6.0,Dipokusuman No. 185,-7.811963921,110.3713932
Jawa Losmen,Non Bintang,Melati,5.0,Sosrowijayan Wetan GT I/139,-7.790166009,110.3638311
Jentra Dagen Hotel,Bintang,Bintang Tiga,64.0,Jl. Dagen 86,-7.793603511,110.3621368
Jogja 761,Non Bintang,Akomodasi Lain,5.0,Demakan Baru No. 761,-7.79173082,110.3524719
Jogja Backpacker Home,Non Bintang,Pondok Wisata,7.0,Mas Suharto Jambu Gg. Ledok Tukangan 2 Tegalpanggung,-7.793177381,110.3694303
Jogja Classic Homestay,Non Bintang,Pondok Wisata,3.0,Jl. Kimangunsarkoro No. 29,-7.799753692,110.3798063
Jogja Graha Wisata Hotel,Non Bintang,Melati,40.0,Jl. Rejowinangun No. 1 ,-7.809979832,110.400548
Jogja Hotel,Non Bintang,Melati,8.0,Sosrowijayan Wetan GT 1/72,-7.788148988,110.3624774
Jogja Inn Hotel,Non Bintang,Melati,45.0,Jl. Veteran No. 175,-7.814284823,110.3899524
Joglo Witana Homestay,Non Bintang,Akomodasi Lain,12.0,Prapanca No. 54,-7.817010166,110.3519737
Jogokariyan Hotel,Non Bintang,Melati,16.0,Jl. Jogokariyan No. 64,-7.823508425,110.3657783
Kali Kala Home Stay,Non Bintang,Pondok Wisata,2.0,Suryodiningratan MJ 2/977,-7.820229804,110.3607152
Kalingga 2 Hotel,Non Bintang,Melati,15.0,Jl. Juminahan No. 50,-7.796708931,110.3710097
Kalingga I Hotel,Non Bintang,Melati,8.0,Jl. Juminahan No. 50,-7.796708931,110.3710097
Kalingga Sekar Inn Hotel,Non Bintang,Melati,10.0,Jl. Juminahan No. 50,-7.796708931,110.3710097
Kalya Hotel / Tune Hotel,Bintang,Bintang Dua,112.0,Jl. Gedong Kuning Selatan No. 118,-7.813348497,110.4014933
Kamajaya Wisma,Non Bintang,Melati,11.0,Karang Kajen MG 3 No. 829,-7.820098242,110.3722241
Kampung Djawa Guest House,Non Bintang,Melati,9.0,Prawirotaman I No. 40,-7.819281342,110.3725953
Kartika Darwiyoto Hotel,Non Bintang,Melati,8.0,Jl. Sosrowijayan 8,-7.79148075,110.3656278
Karunia Hotel,Non Bintang,Melati,19.0,Jl. Sosrowijayan No. 78,-7.791278169,110.3626489
Kayoman Homestay,Non Bintang,Akomodasi Lain,9.0,Perum Gambiran,-7.817273936,110.392272
Kayu Manis Hotel,Non Bintang,Melati,24.0,Jl. Gambiran No. 52,-7.819618829,110.3903812
Kedyla Home Stay,Non Bintang,Pondok Wisata,5.0,Patangpuluhan WB 3/15 B,-7.807645719,110.3487845
Kembar Homestay,Non Bintang,Akomodasi Lain,9.0,Sosrowijayan Wetan GT 1 No. 104,-7.789100556,110.365275
Khrisna Guest Host,Non Bintang,Melati,5.0,Jl. Pasar Kembang No. 29,-7.789821157,110.3641745
Ki Agung Prestise Hotel,Non Bintang,Melati,13.0,Jl. Prawirotaman II MG 3 No. 596 A,-7.819674729,110.3691231
Kili Suci Hotel,Non Bintang,Melati,8.0,Jl. Gambiran No. 55,-7.817161241,110.3910801
Kirana Hotel,Non Bintang,Melati,15.0,Jl. Prawirotaman No. 45,-7.819048246,110.372757
KJ Hotel,Bintang,Bintang Empat,123.0,Jl. Parangtritis No. 120,-7.822262001,110.3673348
Kombokarno Hotel,Non Bintang,Melati,40.0,Jl. Dagen No. 39,-7.793429722,110.3635308
Kota Hotel,Non Bintang,Melati,21.0,Jl. Jlagran Lor No. 19,-7.789448478,110.3616064
Kotagede Heritage Homestay,Non Bintang,Pondok Wisata,8.0,Jl. Tegal Gendu 20,-7.82608263,110.3920037
Kristina Hotel,Non Bintang,Melati,31.0,Jl. Dagen 71A Sosromenduran Gedong Tengen,-7.7936302,110.3626678
Kroto Wisma,Non Bintang,Melati,15.0,Jl. Prawirotaman 2 MG 3 No. 612,-7.819825817,110.3707736
Kunthi Hotel,Non Bintang,Melati,16.0,Jl. Dagen No. 81,-7.793589181,110.3623555
La Javanaise Homestay,Non Bintang,Akomodasi Lain,8.0,Sosrowijayan Wetan GT 1/168,-7.791143799,110.3639235
Laksmita Homestay,Non Bintang,Pondok Wisata,3.0,Jl. Bantul 60 B,-7.817689899,110.3556356
Laras Hati Hotel,Non Bintang,Melati,10.0,Sosrokusuman DN I/182,-7.79336751,110.3672328
Larasati Harsono Penginapan,Non Bintang,Pondok Wisata,12.0,Jl. Mangkuyudan No. 64,-7.82186613,110.3669611
Larrisa Losmen Sukir,Non Bintang,Pondok Wisata,3.0,Sosrowijayan GT 1/106,-7.788179974,110.3630336
Lasmanos Hostel,Non Bintang,Akomodasi Lain,7.0,Tirtodipuran Gang Lesmana No. 99,-7.817555779,110.3658559
Latifah Home Stay,Non Bintang,Pondok Wisata,1.0,Dipoyudan NG I No. 567 Ngampilan,-7.796227412,110.3588949
Lauras Backpacker,Non Bintang,Melati,3.0,Tukangan DN 2/523 Gang Hansip Karno Waluyo,-7.790705868,110.3711172
Laxston Hotel,Bintang,Bintang Dua,42.0,Jl. Magelang No. 31,-7.779991073,110.360646
Le Krasak Boutique Hotel,Non Bintang,Melati,24.0,Jl. Kasak No. 9 Kotabaru,-7.788547597,110.3727241
Lestari Penginapan,Non Bintang,Pondok Wisata,6.0,Sosrowijayan Kulon GT I/171,-7.79135479,110.3637098
Lia Homestay,Non Bintang,Pondok Wisata,5.0,Danunegaran MJ III/1075,-7.816801882,110.3656889
Lilik Hotel,Bintang,Bintang Satu,40.0,Jl. Dagen No. 16,-7.793572529,110.3643735
Limaran 2 Hotel,Non Bintang,Melati,3.0,Sagan GK V/804,-7.779010862,110.3771905
Limaran Hotel,Non Bintang,Melati,23.0,Jl. Suryotomo No. 1,-7.801136374,110.3688391
Lina Guest House,Non Bintang,Melati,15.0,Dagen No. 507,-7.793975841,110.364765
Lintring Coffee and Homestay,Non Bintang,Pondok Wisata,6.0,Prof Dr. Soepomo No. 30,-7.804928294,110.3902766
Loka Wisata Hotel,Non Bintang,Melati,19.0,Jl. Nyi Retno Dumilah No. 38,-7.814747752,110.3982917
Lolita Hadi Losmen,Non Bintang,Melati,3.0,Sosrowijayan Wetan GT 1/59,-7.788212767,110.3624774
Londres Bed & Breakfast,Non Bintang,Akomodasi Lain,10.0,Babaran No. 71,-7.81154558,110.3880611
Losmen 2000 Tiga Harum I ,Non Bintang,Melati,100.0,Jl. Sosrokusuman DN I No. 174,-7.7940144,110.3669639
Losmen Dimas,Non Bintang,Akomodasi Lain,15.0,Sosrowijayan Wetan GT I/138,-7.791196755,110.3651374
Losmen Fadel,Non Bintang,Akomodasi Lain,12.0,Sosrowijayan GT I/135,-7.791052658,110.3639466
Losmen Famili ,Non Bintang,Melati,25.0,Dagen No. 14,-7.793476234,110.364526
Lotus Losmen,Non Bintang,Melati,8.0,Sosrowijayan Wetan GT I/167,-7.790896149,110.3639069
Lucy 1 Losmen,Non Bintang,Akomodasi Lain,7.0,Sosrowijayan Wetan 81,-7.79048159,110.3652818
Lucy 2 Losmen,Non Bintang,Melati,7.0,Sosrowijayan Wetan GT 1/87,-7.79096511,110.3652914
Lumayan Penginapan,Non Bintang,Akomodasi Lain,4.0,Sosrowijayan Kulon GT I/172,-7.79101992,110.3632831
Lynn Hotel By Horison Yogyakarta,Bintang,Bintang Tiga,112.0,Jl. Jogokariyan No. 82,-7.824252313,110.3668958
Madani Syariah Hotel,Non Bintang,Melati,18.0,Jl. Cantel Baru II No 1A,-7.79528056,110.3876575
Madukoro Hotel,Non Bintang,Melati,30.0,Jl. Taman Siswa No. 117,-7.812122563,110.3768946
Madumurti 33,Non Bintang,Akomodasi Lain,6.0,Madumurti No. 33,-7.81150108,110.3470556
Maerakaca Hotel,Non Bintang,Melati,22.0,Jl. RW. Monginsidi No. 22,-7.778181902,110.3633715
Maharani Guest House,Non Bintang,Melati,8.0,Gg. Sartono MJ 3 No. 811,-7.815308782,110.365655
Makuta Guest House,Non Bintang,Melati,18.0,Prawirataman 2 No. 839,-7.820185217,110.3708663
Malioboro Garden Hotel,Non Bintang,Melati,32.0,Sosrokusuman DN I/163,-7.79400103,110.3667741
Malioboro Home Stay,Non Bintang,Pondok Wisata,7.0,Sosromenduran GT I/310 A,-7.792661671,110.3655725
Malioboro Inn Hotel,Bintang,Bintang Satu,52.0,Jl. Sosrowijayan No. 23-25,-7.791754238,110.3642482
Malioboro Palace Hotel,Non Bintang,Melati,51.0,Jl. Sosrowijayan No. 3-5,-7.791810535,110.3654027
Manthili Hotel,Non Bintang,Melati,20.0,Jl. Sorosutan 6A,-7.81675387,110.3778928
Manunggal Penginapan,Non Bintang,Melati,10.0,Jl. Nitikan Baru No 2,-7.816731278,110.3832141
Maranatha hotel,Non Bintang,Melati,29.0,Jl. Dagen No 76,-7.79320491,110.3617438
Martha Wisma,Non Bintang,Melati,25.0,Jl. Rejowinangun No. 15A,-7.81018862,110.4007818
Mas Gun Guet House,Non Bintang,Pondok Wisata,9.0,Jl. Prawirotaman No 36,-7.818882313,110.3712623
Masjid Jogokariyan Penginapan,Non Bintang,Akomodasi Lain,11.0,Jl. Jogokariyan No. 36,-7.824085544,110.3644816
Masrilinks 2 Wisma,Non Bintang,Akomodasi Lain,10.0,Suryodiningratan MJ II/915,-7.817371706,110.3592632
Matahari Hotel,Bintang,Bintang Dua,70.0,Jl. Parangtritis No. 123,-7.821739437,110.3681855
Mataram hotel,Non Bintang,Melati,19.0,Jl. Pasar Kembang No. 61A,-7.789957036,110.3627432
Mataram II Hotel,Non Bintang,Melati,19.0,Jl. Kemetiran Lor No. 13,-7.79133925,110.3605061
Maturnuwun Homestay,Non Bintang,Akomodasi Lain,4.0,Sartono No. 828,-7.819565687,110.3664244
Mawar Asri Hotel,Non Bintang,Melati,41.0,Jl. H. Agus Salim No. 40,-7.804028564,110.3588186
Mawar Herlina Losmen,Non Bintang,Akomodasi Lain,8.0,Sosrowijayan Wetan GT 1/136,-7.790369628,110.3640688
Mawar Saron Hotel,Non Bintang,Melati,17.0,Kepuh GK III/1055,-7.781396678,110.3858348
Melati Wisma,Non Bintang,Melati,24.0,Jl. Pakel Baru No. 34 A,-7.816196511,110.3808496
Melia Purosani Hotel,Bintang,Bintang Lima,280.0,Jl. Suryotomo No. 31,-7.797082042,110.3691284
Mentari Homestay,Non Bintang,Akomodasi Lain,4.0,Sosrowijayan Wetan GT II/67 RT 08/RW 02,-7.787949631,110.3634628
Merapi Hotel,Non Bintang,Melati,14.0,Sosrowijayan Wetan GTI/155,-7.787776672,110.3619178
Merbabu Hotel,Non Bintang,Melati,19.0,Sosrowijayan GT 1/32,-7.788113948,110.3636343
Mercury Green Guest House,Non Bintang,Akomodasi Lain,13.0,Jl. Gerilya MG 3/595,-7.819531555,110.369042
Metro Guest House,Non Bintang,Melati,47.0,Prawirotaman No 606,-7.819740784,110.3707307
Metro Malioboro Hiving,Non Bintang,Akomodasi Lain,28.0,Ronodigdayan 16,-7.79346724,110.3741206
Minto Penginapan,Non Bintang,Akomodasi Lain,3.0,Sosrowijayan Kulon GT I/228,-7.791418569,110.3637419
Mitra Hotel,Non Bintang,Melati,27.0,Jl. KH. A. Dahlan No. 9,-7.801286404,110.3638184
Mitu 1 Homestay 610,Non Bintang,Vila,3.0,Pageran Timur 610,-7.816803541,110.3591093
Mitu 2 Homestay 609,Non Bintang,Vila,3.0,Pugeran Timur No. 609,-7.816803541,110.3591093
Monginsidi Guest House,Non Bintang,Pondok Wisata,8.0,Jl. Monginsidi No. 7 Jetis,-7.777861592,110.3659666
Monica Hotel,Non Bintang,Melati,20.0,Jl. Sosrowijayan Wetan GT I/192,-7.790210721,110.3632872
Mulia Kencana Hotel,Non Bintang,Melati,17.0,Jl. Pasar Kembang No. 15,-7.789942498,110.3651111
Mulia Widiastuti Wisma,Non Bintang,Melati,9.0,Matrijeron MJ3/810,-7.770495483,110.3778734
Muria Hotel,Non Bintang,Melati,15.0,Jl. Prawirotaman 2 No. 600,-7.820018455,110.3690338
Musafira Hotel,Non Bintang,Melati,35.0,Jl. Surokarsan No. 15,-7.803971299,110.3770172
Museum Batik Hotel,Non Bintang,Melati,20.0,Jl. Dr. Sutomo No. 13,-7.795484298,110.3772539
Mutiara Hotel,Bintang,Bintang Tiga,119.0,Jl. Malioboro No. 18,-7.794205181,110.3658859
Nagari Hotel,Bintang,Bintang Tiga,46.0,Jl. Letjend Suprapto,-7.798458513,110.356326
Nanda Ananda R P Wisma,Non Bintang,Melati,18.0,Ngadinegaran MJ3/72,-7.815881623,110.3639916
Nap Inap Homestay,Non Bintang,Pondok Wisata,4.0,Timuran No. 84,-7.817494041,110.3696624
Nayotama Homestay,Non Bintang,Akomodasi Lain,7.0,Pandeyan No. 7 Kalangan Umulharjo,-7.812843151,110.3867322
Ndalem Eyang Dwijo,Non Bintang,Pondok Wisata,10.0,Cantel GK IV/341,-7.792232169,110.388048
Ndalem Eyang Homestay,Non Bintang,Melati,20.0,Kemetiran Kidul GT 2/813,-7.79304621,110.3590207
Ndalem Ibu,Non Bintang,Akomodasi Lain,5.0,Kelurahan No. 216 RT 55/RW 02,-7.770744041,110.3639128
Ndalem Kemetiran,Non Bintang,Pondok Wisata,5.0,Kemetiran GT 2/671 RT 02/RW 14,-7.792203536,110.3608651
Ndalem Kotabaru Guest House,Non Bintang,Akomodasi Lain,14.0,Jl. Yos Sudarso No 29,-7.788199527,110.3731617
Ndalem Maharani Guest House,Non Bintang,Pondok Wisata,10.0,Jl. Sawojajar No 6,-7.805479138,110.36729
Ndalem Mantrijeron Hotel,Non Bintang,Melati,15.0,Jl. Sartono MJ III/815,-7.819683382,110.3671664
Ndalem MJ Homestay,Non Bintang,Akomodasi Lain,10.0,Surami MJ III/853,-7.820293363,110.3658498
Ndalem Ngabean,Non Bintang,Akomodasi Lain,9.0,Ngadisuryan No 6 Panembahan,-7.809874999,110.3623374
Ndalem Ngadiwinatan Homestay,Non Bintang,Pondok Wisata,4.0,Ngadiwinatan NG 1/1289,-7.799873101,110.3607145
Ndalem Panembahan 12 Guest House,Non Bintang,Pondok Wisata,6.0,Mangunnegaran Kidul No 12 Panembahan,-7.80613055,110.3679062
Ndalem Pathuk Homestay Udi,Non Bintang,Pondok Wisata,3.0,Patuk Dipoyudan NG 1/551,-7.795741643,110.3592713
Ndalem Soeratin Guest House,Non Bintang,Akomodasi Lain,10.0,A.M. Sangaji No 68,-7.774606181,110.3683096
Ndalem Suwondo Homestay,Non Bintang,Vila,5.0,Cokrodingratan JT II/100 RT 11/RW 03,-7.780306874,110.3665209
Ndalem Timoho Homestay/Omah Timoho Homestay,Non Bintang,Pondok Wisata,7.0,"Jl. Kusuma, Gendeng GK 4/904",-7.79289732,110.3914726
Nendra Wisma,Non Bintang,Melati,15.0,Jl. Dagen No. 50,-7.793446301,110.3633484
Neneng Penginapan,Non Bintang,Akomodasi Lain,8.0,Sosrowijayan Kulon GT I/216,-7.791209857,110.3632554
Neo Awana Hotel,Bintang,Bintang Tiga,296.0,Jl. Mayjend Sutoyo 52,-7.815159014,110.3655019
Neo Malioboro Hotel,Bintang,Bintang Tiga,154.0,Jl. Pasar Kembang No 21,-7.789820259,110.3646296
New Emilia Malioboro,Non Bintang,Melati,33.0,Dagen GT I/442 RT 23/RW 05,-7.793078231,110.362407
New Saphir Hotel Yogyakarta,Bintang,Bintang Empat,14.0,Jl. Laksda Adi Sucipto No. 38 RT 013/RW 04,-7.783273305,110.391496
Nextdoor Homestay,Non Bintang,Pondok Wisata,10.0,Timuran No 140,-7.816853957,110.3691261
Ngampilan Backpacker,Non Bintang,Pondok Wisata,6.0,Jl. Letjend Suprapto NG1/220 RT 10/RW 02,-7.799467205,110.3558314
Nidia Hotel,Non Bintang,Melati,12.0,Jl. Mangkuyudan No. 59,-7.821708121,110.3670872
Nirwana Hotel,Non Bintang,Melati,19.0,Jl. Taman Siswa No. 9,-7.802646807,110.3787838
Novatel Hotel,Non Bintang,Melati,20.0,Jl. KH Wachid Hasyim No 61,-7.804996126,110.3563729
Novi/Suwarno Penginapan,Non Bintang,Akomodasi Lain,4.0,Sosrowijayan Kulon GT I/212,-7.7910823,110.3632876
Novotel Hotel,Bintang,Bintang Empat,202.0,Jl. Jendral Sudirman No. 89,-7.782464105,110.3776149
Novotel Suite,Bintang,Bintang Empat,147.0,Jl. Malioboro No. 52 - 58,-7.792705222,110.3661711
Nueve Jogja Hotel,Bintang,Bintang Dua,61.0,Jl. Mataram No. 9,-7.79574801,110.3689439
Nugraha Hotel,Non Bintang,Melati,22.0,Jl. Ki Ageng Pemanah no. 9 Wirosaban,-7.825544265,110.3790793
Nugraha Wisma,Non Bintang,Melati,40.0,Mantrijeron MJ 3/813,-7.8192373,110.3531888
Nuri Losmen,Non Bintang,Melati,12.0,Sosrowijayan Wetan GT 1 No. 77,-7.791308902,110.3645136
Nusantara Hotel,Non Bintang,Melati,21.0,Jl. Pasar Kembang No. 59,-7.789855629,110.3629432
Nusantara Wisma,Non Bintang,Melati,14.0,Jl. Bugisan No. 48,-7.810487134,110.3499007
Oase Hotel,Non Bintang,Akomodasi Lain,12.0,Timuran No. 146,-7.817273503,110.3692922
Oke Baik Hotel,Non Bintang,Akomodasi Lain,10.0,Prawirotaman MG III/566,-7.8182462,110.3720156
Olympic Hotel,Non Bintang,Melati,93.0,Jl. Sisingamangaraja No. 21B,-7.82170246,110.3734517
Omah Bagyo Homestay/Eastation,Non Bintang,Pondok Wisata,2.0,Juminahan DN 2 1005,-7.794536927,110.3705405
Omah Bumi Homestay,Non Bintang,Pondok Wisata,5.0,Golo No. 10,-7.81288425,110.3812221
Omah Cilik Homestay,Non Bintang,Pondok Wisata,3.0,Purwokinanti PA 1/350 RT 027/RW005,-7.799302697,110.3739045
Omah Eling Penginapan,Non Bintang,Akomodasi Lain,14.0,Suryowijayan No. 22,-7.811289558,110.3557955
Omah Gedong Kuning Syariah Homestay,Non Bintang,Akomodasi Lain,9.0,Kusumanegara GG Ganesha KG 1/27,-7.801610483,110.3849186
Omah Konco Homestay,Non Bintang,Akomodasi Lain,4.0,Magangan Kulon No. 2,-7.807178919,110.3629512
Omah Kulon,Non Bintang,Akomodasi Lain,6.0,Poncowolo No. 24,-7.80578792,110.3459739
Omah Lawas Homestay,Non Bintang,Melati,5.0,Prawirotaman MG III/649,-7.820628934,110.368309
Omah Lawas Supriyanto,Non Bintang,Melati,3.0,Sosrowijayan Wetan GT 1/85A,-7.791003981,110.3633099
Omah Mburi Penginapan,Non Bintang,Melati,7.0,Tukangan Gang Hansip Karno Waloyo Tegalpanggung DN 2/673,-7.790964679,110.3719427
Omah Ndelik Sayidan,Non Bintang,Pondok Wisata,3.0,Gondomanan II/190 RT18/RW06,-7.802659536,110.3706566
Omah Pari Hotel,Non Bintang,Melati,17.0,Jl. Nakulo No. 34,-7.804853626,110.347791
Omah Putih Homestay,Non Bintang,Pondok Wisata,3.0,Jogokaryan No. 68,-7.824077149,110.3658773
Omah Qu Guest House,Non Bintang,Melati,8.0,Jl. Bausasran No. 34,-7.796918833,110.3748909
Omah Ratu Homestay,Non Bintang,Akomodasi Lain,90.0,Sukanandi No. 19,-7.797970922,110.3816386
Omah Semar Homestay,Non Bintang,Pondok Wisata,14.0,Jl. Argolobang no. 22 RT 27/RW 07 ,-7.789593954,110.3803496
Omah Sorsawo homestay,Non Bintang,Akomodasi Lain,10.0,Joyonegaran MG II/893,-7.806843468,110.3783967
Omah uti,Non Bintang,Pondok Wisata,3.0,Sayidan GM II No. 54 RT18/RW06,-7.801069758,110.3712069
Omahe Bagus Homestay,Non Bintang,Pondok Wisata,7.0,Jagalan Ledok Sari PA I No 41,-7.797730893,110.3704042
Orlen Hotel,Bintang,Bintang Satu,33.0,Jl. C Simnajuntak No. 2,-7.780580833,110.3733452
Oryza Hotel,Non Bintang,Melati,15.0,Jl. Sosrowijayan No. 49 - 51,-7.791512889,110.3627182
Otu Hostel,Non Bintang,Akomodasi Lain,5.0,Prawirotaman 1 Gang Gringsing No 517,-7.818024561,110.3703629
Pakuncen Malioboro Guesthouse Syariah,Non Bintang,Akomodasi Lain,16.0,Hos Cokroaminoto No. 44,-7.793413009,110.3528706
Pakuning Hotel,Non Bintang,Melati,19.0,Jl. Pakuningratan No 01,-7.780824384,110.3668115
Palem Kipas Homestay,Non Bintang,Pondok Wisata,3.0,Gang Kenanga MJ 3/59 Ngadinegaran,-7.815740056,110.3651107
Pamularsih Homestay,Non Bintang,Pondok Wisata,6.0,Jl. Pamularsih No. 5,-7.80864474,110.3486918
Pan Family Hotel,Non Bintang,Melati,5.0,Jl. Tamansiswa No. 150 F,-7.812842813,110.3755245
Panca Dewi Guest House,Non Bintang,Akomodasi Lain,7.0,Mas Suharto No. 36,-7.793341701,110.3714649
Pandanaran Hotel,Bintang,Bintang Tiga,118.0,Jl. Prawirotaman No. 38,-7.819323507,110.3723881
Panorama Hotel,Non Bintang,Melati,17.0,Jl. Sultan Agung No. 95,-7.801403383,110.3783916
Pantes hotel,Non Bintang,Melati,19.0,Sosrokusuman DN 1/142,-7.794304169,110.3659485
Paramita Hotel,Non Bintang,Melati,18.0,Kepuh GK III/936 RT49/RW 13,-7.780736043,110.3866993
Parikesit Guesthouse,Non Bintang,Melati,14.0,Jl. Prawirotaman No. 32,-7.819125362,110.3717144
Pasha Homestay,Non Bintang,Akomodasi Lain,2.0,Pasar Kembang No. 29 RT 13/RW 02,-7.789741439,110.3642443
Pawon Coklat Guesthouse,Non Bintang,Melati,10.0,Sosrowijayan Wetan GT 1 no. 102,-7.790360678,110.3654016
Pego Homestay Agus,Non Bintang,Pondok Wisata,5.0,Sosrowijayan Wetan GT 1/75,-7.791230811,110.3641896
Pelangi Hotel,Non Bintang,Melati,28.0,Jl. Wakhid Hasyim No. 99,-7.80661199,110.3562257
Pendopo Andari,Non Bintang,Pondok Wisata,6.0,Yudonegaran GM II No. 232,-7.802731889,110.3682059
D'santoso Penginapan,Non Bintang,Pondok Wisata,5.0,Mataram GG Erwinasis DN 1/ No 267,-7.795372273,110.3693394
Mawar Putih Penginapan ,Non Bintang,Akomodasi Lain,3.0,Pajeksan GT I/33 RT 32/RW 08,-7.793451093,110.3646137
Prima Penginapan,Non Bintang,Pondok Wisata,10.0,Pringgokusuman GT 2/587 RT 31/RW 08,-7.792261741,110.3587944
Wijilan Go Syariah Penginapan,Non Bintang,Pondok Wisata,6.0,Panembahan No. 60,-7.804600385,110.3662501
Perdana Hotel M Hidayat Wisma,Non Bintang,Melati,20.0,Jl. Jagran Lor No. 19,-7.789594467,110.3610686
Permata Hotel,Non Bintang,Melati,16.0,Jl. Dagen No. 64,-7.79122379,110.3623794
Perwitasari Hotel,Non Bintang,Melati,22.0,Prawirotaman No. 31,-7.819001391,110.3715077
Pesona Artha homestay,Non Bintang,Pondok Wisata,1.0,Jl. Jlagran No. 7,-7.790558278,110.3602899
Pesona tugu hotel,Bintang,Bintang Tiga,133.0,Jl. P. Diponegoro No. 99 bumijo,-7.782931635,110.3631139
Pesona Malioboro Hotel,Bintang,Bintang Tiga,141.0,Jl. Gadean No. 3,-7.797719233,110.363484
Peti Mas Hotel,Non Bintang,Melati,45.0,Jl. Dagen No. 27,-7.793948791,110.3638406
Pi Home Mantrijeron,Non Bintang,Akomodasi Lain,10.0,Ngadinegaran MJ III No. 144,-7.81690169,110.3637276
Planteres Guest House,Non Bintang,Pondok Wisata,19.0,Jl. Urip Sumoharjo No. 100 RT 59/RW 15,-7.783163385,110.3858962
Pojok Pas Guest House,Non Bintang,Akomodasi Lain,4.0,Prawirotaman M6 III/514 C,-7.817809661,110.3700424
Poncowinatan Hotel,Non Bintang,Melati,32.0,Jl. Poncowinatan No. 3,-7.782202865,110.3664719
Pondok 71,Non Bintang,Akomodasi Lain,15.0,Pugeran MJ 11 No 271,-7.813620113,110.3571611
Pondok Cokroaminoto,Non Bintang,Akomodasi Lain,14.0,HOS Cokroaminoto 209 RT 47/RW 04,-7.782123522,110.3521534
Pondok ijo,Non Bintang,Akomodasi Lain,6.0,Ngadinegaran MJ III/93 RT 11/ RW 03,-7.816763632,110.3647286
Pondok Yasmine Heritage Homestay Sumiyono,Non Bintang,Pondok Wisata,5.0,Jl. Lobaningratan,-7.801376012,110.3712547
Pondok Keluarga Mugi Remen,Non Bintang,Akomodasi Lain,7.0,Minggiran Bru MJ II/942 RT 48/RW 14,-7.820348646,110.360484
Pondok Moalim Malioboro,Non Bintang,Akomodasi Lain,16.0,GG Sosrokusuman DN I/177,-7.793651891,110.3671144
Pondok Monggolo,Non Bintang,Akomodasi Lain,4.0,Sudagaran TR III/820 RT 42/RW 12,-7.793061979,110.3580714
